Timestamp;GazeX;GazeY;LeftEye;RightEye;LineNumber
78452199,8821575;749,5876;473,0478;False;True;0
78452230,7036717;746,7344;479,1818;False;True;0
78452244,6877744;742,4699;482,2281;True;True;0
78452260,1342644;738,5085;481,4472;True;True;0
78452275,1964358;741,2808;473,5593;True;True;0
78452290,0107579;738,3184;475,3753;True;True;0
78452305,1500971;763,1827;500,9691;True;True;0
78452320,0191589;790,0102;535,1752;True;True;0
78452334,9452413;801,1828;560,6252;False;True;0
78452350,0363031;804,1314;527,1657;True;True;0
78452380,7912933;810,1373;528,0542;True;True;0
78452394,8324166;824,8294;503,0781;True;True;0
78452410,554506;854,9993;463,2928;False;True;0
78452424,8989786;846,6902;472,7336;False;True;0
78452440,1166261;839,3654;469,1088;True;True;0
78452455,7360784;845,7379;479,0105;False;True;0
78452469,861212;843,1071;477,4107;True;True;0
78452484,9644382;841,1311;479,7173;True;True;0
78452500,1448322;839,1663;482,5699;True;True;0
78452530,773617;842,1902;506,3787;True;True;0
78452545,1827129;844,4114;508,2076;False;True;0
78452559,9426753;858,2771;526,1699;True;True;0
78452574,9269186;894,3626;522,9096;True;True;0
78452590,399258;906,8239;524,8175;True;True;0
78452605,0162889;910,1664;515,9;True;True;0
78452620,4118405;911,3781;517,1216;True;True;0
78452634,8631316;909,3125;519,8564;True;True;0
78452649,8656215;912,4919;518,1568;True;True;0
78452682,6653691;904,8011;524,6668;True;True;0
78452694,8738515;904,1603;525,5367;True;True;0
78452709,8466907;907,2825;514,0127;False;True;0
78452725,26353;907,7418;509,9211;True;False;0
78452741,9287395;914,4991;506,7388;True;False;0
78452755,0738796;917,8055;507,6579;True;True;0
78452770,1698833;930,5506;502,8715;False;True;0
78452784,9579759;927,9725;511,4371;False;True;0
78452800,0425753;946,9963;508,0863;True;True;0
78452830,8591478;967,6401;507,8893;True;True;0
78452845,6384972;973,8223;495,5145;True;True;0
78452860,8857954;988,8158;498,926;True;True;0
78452875,1584221;989,0453;500,6819;True;True;0
78452890,1860011;989,22;492,9413;True;True;0
78452907,1762277;990,2233;488,1478;True;True;0
78452919,9545356;994,1351;485,1016;True;True;0
78452934,9441008;1004,581;486,8465;True;True;0
78452950,1058682;1004,629;488,414;False;True;0
78452980,942968;1002,819;487,6996;True;True;0
78452994,9787693;1006,089;490,0923;False;True;0
78453010,5195333;1011,848;491,1831;False;True;0
78453025,3125677;986,736;509,0074;True;True;0
